Hospital ID,Name,Address,Telephone
320058,MESCALERO PHS INDIAN HOSPITAL,P O BOX 210,5054644441
320059,NORTHERN NAVAJO MEDICAL CENTER,US HWY 491 NORTH,5053686001
320060,ZUNI COMPREHENSIVE COMMUNITY HEALTH CENTER,ROUTE 301 NORTH B STREET,5057824431
320062,CROWNPOINT HEALTHCARE FACILITY,JUNCTION OF HWY 371,5057865291
320070,DHHS USPHS INDIAN HEALTH SERVICES,EXIT #102 OFF I-40 1/2 MILE SOUTH,5055525300
321309,MIMBRES MEMORIAL HOSPITAL,900 W ASH,5755465803
330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,2122417981
330049,NORTHERN DUTCHESS HOSPITAL,6511 SPRINGBROOK AVENUE,8458713391
330055,NEW YORK-PRESBYTERIAN/QUEENS,56-45 MAIN STREET,7186702000
330058,GENEVA GENERAL HOSPITAL,196 -198 NORTH STREET,3157874175
330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,6074322000
330136,MARY IMOGENE BASSETT HOSPITAL,ONE ATWELL ROAD,6075473456
330181,GLEN COVE HOSPITAL,101 ST ANDREWS LANE,5166747300
330195,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,7184707000
330198,SOUTH NASSAU COMMUNITIES HOSPITAL,ONE HEALTHY WAY,5166323000
330304,WHITE PLAINS HOSPITAL CENTER,41 EAST POST R0AD,9146810600
330385,NORTH CENTRAL BRONX HOSPITAL,3424 KOSSUTH AVENUE & 210TH STREET,2125195000
330386,CATSKILL REGIONAL MEDICAL CENTER,68 HARRIS BUSHVILLE ROAD,8457943300
330393,UNIVERSITY HOSPITAL ( STONY BROOK ),HEALTH SCIENCES CENTER SUNY,6314444000
331303,CATSKILL REGIONAL MEDICAL CENTER - G HERMANN SITE,8081 ROUTE 97,8458875530
340030,DUKE UNIVERSITY HOSPITAL,PO BOX 3814 DUMC  ERWIN RD,9196848111
340047,NORTH CAROLINA BAPTIST HOSPITAL,MEDICAL CENTER BOULEVARD,3367162011
340127,GRANVILLE HEALTH SYSTEMS,COLLEGE ST BOX 947,9196903000
340132,MARIA PARHAM MEDICAL CENTER,PO BOX 59,2524313708
340144,DAVIS REGIONAL MEDICAL CENTER,218 OLD MOCKSBVILLE RD PO BOX 1823,7048730281
340156,CHEROKEE INDIAN HOSPITAL AUTHORITY,CALLER BOX C268,7044979163
340171,NOVANT HEALTH MATTHEWS MEDICAL CENTER,1500 MATTHEWS TWNSHP PRKWY BOX 3310,7043846500
341302,OUR COMMUNITY HOSPITAL,921 JUNIOR HIGH ROAD,2528264144
341320,ALLEGHANY COUNTY MEMORIAL HOSPITAL,617 DOCTORS STREET,3363725511
341323,CHARLES A CANNON JR MEMORIAL HOSPITAL,434 HOSPITAL DRIVE,8287377000
350063,P H S INDIAN HOSP AT BELCOURT-QUENTIN N BURDICK,PO BOX 160,7014776111
350064,STANDING ROCK INDIAN HEALTH SERVICE HOSPITAL,10 NORTH RIVER ROAD,7018543831
351305,KENMARE COMMUNITY HOSPITAL,PO BOX 697,7013854296
351312,NORTHWOOD DEACONESS HEALTH CENTER,PO BOX 190,7015876060
351318,CARRINGTON HEALTH CENTER,PO BOX 461,7016523141
351319,PEMBINA COUNTY MEMORIAL HOSPITAL,BOX 380,7012658461
351331,TOWNER COUNTY MEDICAL CENTER,HWY 281 N,7019684411
360051,MIAMI VALLEY HOSPITAL,ONE WYOMING STREET,9372088000
360076,ATRIUM MEDICAL CENTER,ONE MEDICAL CENTER DRIVE,5134205102
360098,LAKE HEALTH,7590 AUBURN ROAD,4409539600
360133,GRANDVIEW HOSPITAL & MEDICAL CENTER,405 GRAND AVENUE,9377233312
360245,GLENBEIGH HEALTH SOURCES,2863 STATE ROUTE 45,4405633400
360262,MERCY ST ANNE HOSPITAL,3404 SYLVANIA AVENUE,4194072663
360274,MEDICAL CENTER AT ELIZABETH PLACE,ONE ELIZABETH PLACE,9378531053
363306,DAYTON CHILDREN'S HOSPITAL,ONE CHILDRENS PLAZA,9376413450
363308,SHRINERS HOSPITALS FOR CHILDREN - CINCINNATI,3229 BURNETT AVENUE,5138726000
370034,MCALESTER REGIONAL HEALTH CENTER AUTHORITY,ONE CLARK BASS BOULEVARD,9184261800
370048,MCCURTAIN MEMORIAL HOSPITAL,1301 LINCOLN ROAD,5802867623
370049,STILLWATER MEDICAL CENTER AUTHORITY,1323 WEST 6TH STREET,4053721480
370054,GRADY MEMORIAL HOSPITAL,2220 IOWA STREET,4052242300
370183,HILLCREST HOSPITAL HENRYETTA,2401 W MAIN DEWEY,9186501511
370214,LINDSAY MUNICIPAL HOSPITAL,1305 W CHEROKEE STREET - HIGHWAY 19 WEST,4057561404
370222,MCBRIDE ORTHOPEDIC HOSPITAL,9600 NORTH BROADWAY EXTENSION,4054862100
371311,JEFFERSON COUNTY HOSPITAL,INTERSECTION HYWS 81 & 70,5802282344
371313,"MERCY HOSPITAL KINGFISHER, INC",1000 KINGFISHER HOSPITAL DRIVE,4053753141
371330,QUARTZ MOUNTAIN MEDICAL CENTER,ONE WICKERSHAM DRIVE,5807823353
371331,DRUMRIGHT REGIONAL HOSPITAL,610 WEST BYPASS,9183822300
371332,SEILING MUNICIPAL HOSPITAL,US HIGHWAY 60,5809227361
381319,ST ANTHONY HOSPITAL,2801 ST ANTHONY WAY,5412765121
390013,EVANGELICAL COMMUNITY HOSPITAL,ONE HOSPITAL DRIVE,5705222200
390025,KENSINGTON HOSPITAL,136 W DIAMOND STREET,2154268100
390032,ALLEGHENY VALLEY HOSPITAL,1301 CARLISLE ST,4122245100
390066,GOOD SAMARITAN HOSPITAL,FOURTH AND WALNUT STREETS,7172707500
390079,ROBERT PACKER HOSPITAL,ONE GUTHRIE SQUARE,5708886666
390111,HOSPITAL OF UNIV OF PENNSYLVANIA,34TH & SPRUCE STS,2156623227
390123,POTTSTOWN MEMORIAL MEDICAL CENTER,1600 EAST HIGH STREET AND ARMAND HAMMER BLVD,6103277000
390146,WARREN GENERAL HOSPITAL,TWO CRESCENT PARK WEST,8147233300
390156,MERCY FITZGERALD HOSPITAL,LANSDOWNE & BAILY RDS,2152374000
390163,ACMH HOSPITAL,ONE NOLTE DRIVE,7245438500
390168,BUTLER MEMORIAL HOSPITAL,ONE HOSPITAL WAY,7242836666
390180,CROZER CHESTER MEDICAL CENTER,ONE MEDICAL CENTER BOULEVARD,6104472000
390195,MAIN LINE HOSPITAL LANKENAU,100 LANCASTER AVE,6106452000
390219,EXCELA HEALTH LATROBE HOSPITAL,ONE MELLON WAY,7245371000
390258,ST MARY MEDICAL CENTER,LANGHORNE-NEWTOWN RD,2157502003
390321,SURGICAL SPECIALTY CENTER AT COORDINATED HEALTH,1503 CEDAR CREST BOULEVARD,6108719110
390330,ST LUKE'S HOSPITAL - MONROE CAMPUS,100 ST LUKES LANE,2722120200
393303,CHILDREN'S HOSPITAL OF PHILADELPHIA,34TH ST & CIVIC CENTER BLVD,2155903745
400001,PRESBYTERIAN COMMUNITY HOSP,1451 ASHFORD AVENUE,7877212160
400003,HOSPITAL METROPOLITANO DR PILA,2435 LAS AMERICAS AVE,7878485600
400004,"ASOCIACION HOSPITAL DEL MAESTRO, INC",SERGIO CUEVAS BUSTAMANTE STREET 550,7877586420
400005,HIMA SAN PABLO HUMACAO,CALLE FONT MARTELO #3,7878522424
400006,DOCTORS' CENTER HOSPITAL SAN JUAN,PDA. 20 C/ SAN RAFAEL # 1395,7877232950
400007,RYDER MEMORIAL HOSPITAL INC,355 AVE FONT MARTELO,7878520768
400009,SANTA ROSA CLINIC,AVE. LOS VETERANOS #3 KM 135 7 EXIT TO ARROYO,7878640101
400010,HOSPITAL GENERAL DE CASTANER,CARR 135 KM 64 2,7878295010
400011,HOSPITAL ORIENTE,300 FONT MARTELLO STREET,7878520505
400012,HOSPITAL ONCOLOGICO DR ISAAC GONZALEZ MARTINEZ,BO. MONACILLOS CARR 22 CENTRO MEDICO DE PUERTO RIC,7877634149
400013,HOSPITAL MENONITA DE CAYEY,BO. RINCON SECTOR LAS LOMAS  KM.3.1 CARR 14,7875351001
400044,SAN LUKE'S MEMORIAL HOSPITAL INC,TITO CASTRO AVE #917,7878442080
400014,BELLA VISTA HOSPITAL,CARR 349 KM 2 7 CERRO LAS MESAS,7876526045
400015,SAN JUAN MUNICIPAL HOSPITAL,"BARRIO MONACILLOS,CENTRO MEDICO",7877568535
400016,AUXILIO MUTUO HOSPITAL,PONCE DE LEON AVENUE STOP 36 1/2 #735,7877582000
400018,MENNONITE GENERAL HOSPITAL INC,CALLE JOSE C VASQUEZ BO. CAONILLAS,7875351001
400019,HOSPITAL PAVIA SANTURCE,CALLE PROFESOR AUGUSTO RODRIGUEZ #1462,7877276060
400021,HOSPITAL DE LA CONCEPCION,ROAD NUMBER 2 KM 173.4 CAIN ALTO,7878921860
400022,HOSPITAL DAMAS INC,PONCE BY PASS #2213,7878408460
400026,LAFAYETTE HOSPITAL,CARR.753 KM.0.1-SECTOR CUATRO CALLES,7878393232
400032,HOSPITAL HERMANOS MELENDEZ INC,CARRETERA #2 KM 11 7,7876208181
400048,HOSPITAL EPISCOPAL SAN LUCAS GUAYAMA INC,AVE. PEDRO ALBIZU CAMPOS URB. LA HACIENDA,7878644300
